0,1,2,3,4,5
Abraham Lincoln,PT3M13S,Leadbelly,"Bourgeois Blues: Lead Belly Legacy, Volume 2",http://ringsushi.com/tone/abraham-lincoln-276743/,Blues
I'm High Again,PT2M40S,Bo Diddley,The Chess Years - Disc 9 of 12,http://ringsushi.com/tone/im-high-again-276944/,rock
Kids Will Be Skeletons,PT5M28S,Mogwai,Happy Songs For Happy People,http://ringsushi.com/tone/kids-will-be-skeletons-214735/,Alternative
Metropolis,PT2M51S,The Pogues,If I Should Fall From Grace With God,http://ringsushi.com/tone/metropolis-306812/,Folk Rock
Let It Shine on Me,PT3M32S,Leadbelly,Where Did You Sleep Last Night? - Lead Belly Legacy Volume 1,http://ringsushi.com/tone/let-it-shine-on-me-276874/,Folk
No Good Rider,PT2M47S,Leadbelly,Complete Recorded Works 1939-1947 - Volume 6,http://ringsushi.com/tone/no-good-rider-276931/,Blues
Drag Me Down,PT3M12S,One Direction,German Top 100 Single Charts,http://ringsushi.com/tone/drag-me-down-543672/,Pop
E parrez langonned,PT3M40S,Alan Stivell,E langonned,http://ringsushi.com/tone/e-parrez-langonned-306982/,"Celtic, Folk, Bretagne, World"
London Girl,PT3M06S,The Pogues,Rum Sodomy & The Lash (2004 Remastered & Expanded),http://ringsushi.com/tone/london-girl-306906/,Folk Rock
One Meat Ball Alt. Take,PT3M12S,Leadbelly,Black folk singers (1937-1946),http://ringsushi.com/tone/one-meat-ball-alt-take-276865/,Blues
Lullaby Of London,PT3M32S,The Pogues,If I Should Fall From Grace With God (2004 Remastered & Expanded),http://ringsushi.com/tone/lullaby-of-london-306868/,Folk Rock
To West Texas,PT4M07S,Explosions In The Sky,Friday Night Lights,http://ringsushi.com/tone/to-west-texas-214520/,"Soundtrack, Post-rock"
T. B. Blues (6502-B-1),PT2M55S,Leadbelly,The Remaining Library of Congress Recordings - Volume 5 1938-1942,http://ringsushi.com/tone/t-b-blues-6502-b-1-276869/,Blues
Bo's Vacation,PT2M47S,Bo Diddley,The Chess Years - Disc 4 of 12,http://ringsushi.com/tone/bos-vacation-276972/,rock
Bottle Up & Go,PT1M25S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/bottle-up--go-276897/,Blues
This is Me,PT2M55S,Demi Lovato,,http://ringsushi.com/tone/This_is_Me-9875/,Other
And the Band Played Waltzing Matilda (Eric Bogle cover),PT8M15S,The Pogues,Rum Sodomy & The Lash (2004 Remastered & Expanded),http://ringsushi.com/tone/and-the-band-played-waltzing-matilda-eric-bogle-cover-306885/,Folk Rock
Bo Diddley's Dog,PT4M02S,Bo Diddley,The Chess Years - Disc 6 of 12,http://ringsushi.com/tone/bo-diddleys-dog-276961/,rock
Radar Maker,PT1M36S,Mogwai,Young Team,http://ringsushi.com/tone/radar-maker-214754/,Other
Take This Hammer (2),PT2M18S,Leadbelly,Lead Belly Complete Recorded Works 1939-1947 - Disc 2,http://ringsushi.com/tone/take-this-hammer-2-276795/,blues
When I Was a Cowboy,PT2M56S,Leadbelly,Absolutely the Best,http://ringsushi.com/tone/when-i-was-a-cowboy-276740/,Blues
You're in my brain - angels fa,PT10M41S,Skillet,Invincible,http://ringsushi.com/tone/Youre_in_my_brain_-_angels_fa-100643/,Other
"Jesus, jesus holy and anointe",PT4M15S,Skillet,Ardent Worship: Skillet Live,http://ringsushi.com/tone/Jesus_jesus_holy_and_anointe-77520/,Other
How deep the father's love for,PT4M08S,Skillet,Ardent Worship: Skillet Live,http://ringsushi.com/tone/How_deep_the_fathers_love_for-77519/,Other
Scarecrow,PT4M18S,Skillet,"Hey You, I Love Your Soul",http://ringsushi.com/tone/Scarecrow-77515/,Other
Whirlwind,PT4M02S,Skillet,"Hey You, I Love Your Soul",http://ringsushi.com/tone/Whirlwind-77511/,Other
Take,PT4M13S,Skillet,"Hey You, I Love Your Soul",http://ringsushi.com/tone/Take-77506/,Other
Pour,PT4M19S,Skillet,"Hey You, I Love Your Soul",http://ringsushi.com/tone/Pour-77503/,Other
More faithful,PT3M45S,Skillet,"Hey You, I Love Your Soul",http://ringsushi.com/tone/More_faithful-77501/,Other
Your love keeps me alive),PT3M56S,Skillet,"Hey You, I Love Your Soul",http://ringsushi.com/tone/Your_love_keeps_me_alive-77499/,Other
Deeper,PT3M48S,Skillet,"Hey You, I Love Your Soul",http://ringsushi.com/tone/Deeper-77495/,Other
How Deep The Father's Love For Us,PT4M08S,Skillet,,http://ringsushi.com/tone/How_Deep_The_Fathers_Love_For_Us-5733/,Other
Beloved Comrade,PT2M05S,Leadbelly,Black folk singers (1937-1946),http://ringsushi.com/tone/beloved-comrade-276923/,Blues
Billy's Bones,PT2M03S,The Pogues,Rum Sodomy & The Lash (2004 Remastered & Expanded),http://ringsushi.com/tone/billys-bones-306862/,Folk Rock
Rooster Crows At Midnight,PT1M23S,Leadbelly,Shout On - Lead Belly Legacy Vol. 3,http://ringsushi.com/tone/rooster-crows-at-midnight-276892/,Blues
Mama Keep Your Big Mouth Shut,PT2M57S,Bo Diddley,The Chess Years - Disc 6 of 12,http://ringsushi.com/tone/mama-keep-your-big-mouth-shut-277060/,rock
Andrew Henry's Meadow,PT2M43S,Buckethead,Shadows Between The Sky,http://ringsushi.com/tone/andrew-henrys-meadow-214951/,Other
Morgan,PT2M28S,Alan Stivell,The Mist of Avalon,http://ringsushi.com/tone/morgan-307022/,"Celtic, Folk, Bretagne, World"
Last Night (feat. Tion Wayne),PT3M12S,B Young,,http://ringsushi.com/tone/last-night-feat-tion-wayne-580987/,Other
Catch Me,PT2M55S,B Young,,http://ringsushi.com/tone/catch-me-580831/,Other
All Out And Down (995-B-3),PT1M17S,Leadbelly,The Remaining Library of Congress Recordings - Volume 4,http://ringsushi.com/tone/all-out-and-down-995-b-3-276745/,Blues
Balloon Cement,PT3M07S,Buckethead,Balloon Cement,http://ringsushi.com/tone/balloon-cement-214961/,Experimental
In The World,PT2M01S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/in-the-world-276933/,Blues
Say Man Back Again (Alt),PT3M04S,Bo Diddley,The Chess Years - Disc 12 of 12,http://ringsushi.com/tone/say-man-back-again-alt-277104/,rock
Harplinn,PT4M13S,Alan Stivell,Emerald,http://ringsushi.com/tone/harplinn-307113/,"Celtic, Folk, Bretagne, World"
My Lindy Lou,PT1M09S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/my-lindy-lou-276929/,Blues
Bastard!,PT3M38S,F..k That,,http://ringsushi.com/tone/bastard-581123/,Other
Rainbow Man,PT2M46S,The Pogues,Hell's Ditch,http://ringsushi.com/tone/rainbow-man-306847/,Folk Rock
Edward Cullen (Heartless Parody),PT3M46S,Kanye West,,http://ringsushi.com/tone/Edward_Cullen_Heartless_Parody-23139/,Other
Big D's Touch,PT4M11S,Buckethead,A Real Diamond In The Rough,http://ringsushi.com/tone/big-ds-touch-214972/,Alternative
De' ha bla',PT2M47S,Alan Stivell,Brian Boru,http://ringsushi.com/tone/de-ha-bla-307134/,"Celtic, Folk, Bretagne, World"
Monkey Diddle (Live),PT2M29S,Bo Diddley,The Chess Years - Disc 6 of 12,http://ringsushi.com/tone/monkey-diddle-live-277036/,rock
Boom Boom Boom (Gabry Ponte Edit),PT3M30S,Indaqo,New Music N2,http://ringsushi.com/tone/boom-boom-boom-gabry-ponte-edit-559622/,Pop
Grace Descending,PT5M31S,God Is An Astronaut,Far from Refuge,http://ringsushi.com/tone/grace-descending-214559/,Rock
Muirshin Durkin (Traditional),PT1M51S,The Pogues,Red Roses For Me (2004 Remastered & Expanded),http://ringsushi.com/tone/muirshin-durkin-traditional-306920/,Folk Rock
Poor Paddy (Traditional),PT3M10S,The Pogues,Red Roses For Me (2004 Remastered & Expanded),http://ringsushi.com/tone/poor-paddy-traditional-306857/,Folk Rock
Doing The Crawdad,PT3M04S,Bo Diddley,The Chess Years - Disc 3 of 12,http://ringsushi.com/tone/doing-the-crawdad-277077/,rock
The Fighter (feat. Carrie Underwood),PT3M06S,Keith Urban,The Fighter (feat. Carrie Underwood),http://ringsushi.com/tone/the-fighter-feat-carrie-underwood-570893/,Other
Where the Blacktop Ends (Episode 1x03 One Giant Leap),PT3M00S,Keith Urban,,http://ringsushi.com/tone/Where_the_Blacktop_Ends_Episode_1x03_One_Giant_Leap-8612/,Other
Atomic Butterfly,PT5M05S,Buckethead,In Search of the... Vol. 05 - A,http://ringsushi.com/tone/atomic-butterfly-214957/,Other
Danphe and the Brain,PT5M18S,Mogwai,The Hawk is Howling,http://ringsushi.com/tone/danphe-and-the-brain-214698/,rock
Catastrophe And The Cure (Four Tet Mix),PT8M33S,Explosions In The Sky,All Of A Sudden I Miss Everyone (Remixes),http://ringsushi.com/tone/catastrophe-and-the-cure-four-tet-mix-214479/,Rock
Hush Your Mouth (Alt),PT3M08S,Bo Diddley,The Chess Years - Disc 12 of 12,http://ringsushi.com/tone/hush-your-mouth-alt-277043/,rock
Ain't It A Shame,PT1M42S,Leadbelly,"Private Party, Nov 21, 1948",http://ringsushi.com/tone/aint-it-a-shame-276775/,Blues
Jumanji,PT2M53S,B Young,,http://ringsushi.com/tone/jumanji-581122/,
"Be Comfortable, Creature",PT8M48S,Explosions In The Sky,"Take Care, Take Care, Take Care",http://ringsushi.com/tone/be-comfortable-creature-214478/,Post-Rock
Train Kept Rolling On,PT3M20S,The Pogues,Waiting For Herb (2004 Remastered & Expanded),http://ringsushi.com/tone/train-kept-rolling-on-306912/,Folk Rock
Bastard!,PT3M38S,F..k That,,http://ringsushi.com/tone/bastard-581123/,
Bottle Up And Go (fragment) (4473-B-5),PT1M10S,Leadbelly,The Remaining Library of Congress Recordings - Volume 5 1938-1942,http://ringsushi.com/tone/bottle-up-and-go-fragment-4473-b-5-276822/,Blues
Who Do You Love?,PT2M31S,Bo Diddley,The Definitive Collection,http://ringsushi.com/tone/who-do-you-love-277028/,Early R&B
Travelin' West,PT1M47S,Bo Diddley,The Chess Years - Disc 3 of 12,http://ringsushi.com/tone/travelin-west-277027/,rock
Cow Cow Yicky Yicky Yea,PT1M34S,Leadbelly,Complete Recorded Works 1939-1947 Vol 4,http://ringsushi.com/tone/cow-cow-yicky-yicky-yea-276824/,Blues
Six To Go,PT2M58S,The Pogues,Hell's Ditch,http://ringsushi.com/tone/six-to-go-306899/,Folk Rock
Day Two,PT3M48S,Explosions In The Sky,The Rescue,http://ringsushi.com/tone/day-two-214488/,Instrumental Rock
Navigator,PT4M13S,The Pogues,Rum Sodomy & The Lash (2004 Remastered & Expanded),http://ringsushi.com/tone/navigator-306855/,Folk Rock
Whatcha Gonna Do Sometime,PT1M16S,Leadbelly,Black folk singers (1937-1946),http://ringsushi.com/tone/whatcha-gonna-do-sometime-276918/,Blues
Billy's Blues (Part 1),PT2M23S,Bo Diddley,The Chess Years - Disc 12 of 12,http://ringsushi.com/tone/billys-blues-part-1-277006/,rock
Every Time I Feel the Spirit,PT3M26S,Leadbelly,Lead Belly Sings for Children,http://ringsushi.com/tone/every-time-i-feel-the-spirit-276753/,Folk
I Will Be So Glad When I Get Home,PT2M17S,Leadbelly,"Leadbelly Live New York 1947 Austin, Texas 1949",http://ringsushi.com/tone/i-will-be-so-glad-when-i-get-home-276863/,Folk
Father And Mother,PT2M54S,Yann Tiersen,"Good Bye, Lenin!",http://ringsushi.com/tone/father-and-mother-214872/,Other
Good Morning Blues (WNYC Jazz-Festival),PT2M53S,Leadbelly,Complete Recorded Works 1947-1949 Volume 7,http://ringsushi.com/tone/good-morning-blues-wnyc-jazz-festival-276887/,Blues
I Don't Want No More Of Army Life,PT2M50S,Leadbelly,"Leadbelly Live New York 1947 Austin, Texas 1949",http://ringsushi.com/tone/i-dont-want-no-more-of-army-life-276784/,Folk
Something Real (feat. London On Da Track & Chris Brown),PT3M03S,Summer Walker,,http://ringsushi.com/tone/something-real-feat-london-on-da-track-chris-brown-581117/,
Asylum of Glass,PT4M36S,Buckethead,Decoding The Tomb Of Bansheebot,http://ringsushi.com/tone/asylum-of-glass-214956/,Other
Crawdad,PT2M30S,Bo Diddley,The Chess Years - Disc 3 of 12,http://ringsushi.com/tone/crawdad-277031/,rock
"I'm Jim Morrison, I'm Dead",PT6M44S,Mogwai,The Hawk Is Howling,http://ringsushi.com/tone/im-jim-morrison-im-dead-214731/,Post-rock
Jazz Me Blues,PT4M08S,Leadbelly,At New York Town Hall 1947,http://ringsushi.com/tone/jazz-me-blues-276808/,Blues/jazz
Rock harp,PT2M56S,Alan Stivell,Back to Breizh,http://ringsushi.com/tone/rock-harp-307094/,"Celtic, Folk, Bretagne, World"
You Got To Love Me Baby,PT2M26S,Bo Diddley,The Chess Years - Disc 12 of 12,http://ringsushi.com/tone/you-got-to-love-me-baby-276980/,rock
Pretty Papa (WNYC Jazz-Festival),PT2M40S,Leadbelly,Complete Recorded Works 1947-1949 Volume 7,http://ringsushi.com/tone/pretty-papa-wnyc-jazz-festival-276909/,Blues
Woke Up With A Monster,PT4M55S,Cheap Trick,Woke Up With A Monster,http://ringsushi.com/tone/woke-up-with-a-monster-214462/,Rock
Look Into The Air,PT5M26S,Explosions In The Sky,"How Strange, Innocence",http://ringsushi.com/tone/look-into-the-air-214501/,Post-rock
Endless Dream,PT3M54S,God Is An Astronaut,A Moment of Stillness,http://ringsushi.com/tone/endless-dream-214548/,Rock
Day Six,PT5M19S,Explosions In The Sky,Travels In Constants Vol.21-The Rescue,http://ringsushi.com/tone/day-six-214486/,Post Rock
Katrien,PT5M24S,Mogwai,Young Team,http://ringsushi.com/tone/katrien-214734/,Post-Rock
Everyman Is A King,PT3M54S,The Pogues,Peace And Love (2005 Remastered & Expanded),http://ringsushi.com/tone/everyman-is-a-king-306946/,Folk Rock
Tosspint,PT3M32S,The Pogues,Pogue Mahone (2004 Remastered & Expanded),http://ringsushi.com/tone/tosspint-306871/,Folk Rock
Autumn Song,PT3M48S,God Is An Astronaut,Origins,http://ringsushi.com/tone/autumn-song-214535/,Other
